id,lat,lng,coord_source,coord_precision,name,province
ข3-29-1/68สป,13.560669,100.601049,sibling,exact,บริษัท ชัยวัฒนา แทนเนอรี่ กรุ๊ป จำกัด (มหาชน),สมุทรปราการ
ข3-29-3/64สป,13.56035,100.60864,sibling,exact,บริษัท คอตตอนเฟอร์ โปรเซสซิ่ง (ประเทศไทย) จำกัด,สมุทรปราการ
ข3-42(1)-11/58รย,12.65069,101.31995,sibling,exact,บริษัท อูเบะไฟน์ เคมิคอลส์ (เอเชีย) จำกัด,ระยอง
ข3-48(3)-4/66สบ,14.3817052,100.8323106,sibling,exact,บริษัท นอริตาเก้ เอสซีจี พลาสเตอร์ จำกัด,สระบุรี
ข3-53(5)-105/56รย,13.00758,101.13341,sibling,exact,บริษัท อีโคบลู จำกัด,ระยอง
ข3-53(5)-19/67รย,12.65069,101.31995,sibling,exact,บริษัท อูเบะ เคมิคอลส์ (เอเชีย) จำกัด (มหาชน),ระยอง
ข3-57(3)-1/66สบ,14.38659,100.83252,sibling,exact,บริษัท สยามซานิทารีแวร์อินดัสทรี (หนองแค) จำกัด,สระบุรี
ข3-58(6)-1/57อย,14.3362,100.64955,sibling,exact,บริษัท สยาม โอกิทานิ จำกัด,พระนครศรีอยุธยา
ข3-63(2)-21/52สบ,14.38398,100.8409,sibling,exact,บริษัท สยามอุตสาหกรรมยิปซัม(สระบุรี) จำกัด,สระบุรี
ข3-64(12)-9/66รย,12.87429,101.34042,sibling,exact,บริษัท ครีเอทีฟ โพลิเมอร์ส จำกัด,ระยอง
ข3-69-4/68อย,14.338226,100.666344,sibling,exact,บริษัท ออเต้ โฟโต้นิคส์ (ไทยแลนด์) จำกัด,พระนครศรีอยุธยา
ข3-77(1)-3/61อย,14.34325,100.651861,sibling,exact,บริษัท สยาม พีเค พลัส จำกัด,พระนครศรีอยุธยา
ข3-77(2)-70/57รย,13.001665,101.133735,sibling,exact,บริษัท เอสอีดับบลิวเอส-คอมโพเนนท์ (ประเทศไทย) จำกัด,ระยอง
ข3-81(3)-5/67อย,14.2372,100.74374,sibling,exact,บริษัท ซูมิดะ อิเลคทริก (ประเทศไทย) จำกัด,พระนครศรีอยุธยา
ข3-88(1)-28/65สบ,14.38534,100.84127,sibling,exact,บริษัท กัลฟ์ 1 จำกัด,สระบุรี
ข3-88(1)-46/65สบ,14.37965,100.83737,sibling,exact,บริษัท กัลฟ์ 1 จำกัด,สระบุรี
ข3-88(2)-1/43รย,13.0019,101.13615,sibling,exact,บริษัท โกลว์ เอสพีพี 11 จำกัด,ระยอง
