id,registration_display,fid,name,factory_type,province,district,sub_district,address_full,lat,lng,coord_source,last_seen_in_feed,absent_from_feed_as_of
จ3-41(2)-10/61ปจ,จ3-41(2)-10/61ปจ,"=""20250001025615""",บริษัท ซี เอส เอ็น เอ็นจิเนียริ่ง เซอร์วิส จำกัด,3,ปราจีนบุรี,ศรีมหาโพธิ,หนองโพรง,224 ม.3,13.787,101.581,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-12/60ปท,จ3-41(2)-12/60ปท,"=""20130101225606""",บริษัท ไทยไทโย จำกัด,3,ปทุมธานี,คลองหลวง,คลองหนึ่ง,144 ม.18,14.066,100.607,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-12/61ปท,จ3-41(2)-12/61ปท,"=""20130001225615""",บริษัท กรีน โมลด์ จำกัด,3,ปทุมธานี,คลองหลวง,คลองหนึ่ง,9/218 ม.5,14.066,100.607,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-13/62ชบ,จ3-41(2)-13/62ชบ,"=""20200252725629""",ห้างหุ้นส่วนจำกัด สยามเอสอาร์เทค,3,ชลบุรี,เมืองชลบุรี,สำนักบก,30/1 ม.3,13.368,101.061,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-14/57สป,จ3-41(2)-14/57สป,"=""20110201425579""",บริษัท เอส ซี ดับบลิว ฮาดเฟสซิ่ง แอ็นด์ เอนจิเนียริ่ง จำกัด,3,สมุทรปราการ,บางพลี,บางพลีใหญ่,79/204-5 ม.19 ซ.ธนสิทธิ์ ถ.เทพารักษ์,13.618,100.694,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-14/60ปจ,จ3-41(2)-14/60ปจ,"=""20250001425609""",บริษัท อัลคามี เทคโนโลยี (ประเทศไทย) จำกัด,3,ปราจีนบุรี,ศรีมหาโพธิ,ท่าตูม,693 ม.10,13.932,101.571,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-14/62รย,จ3-41(2)-14/62รย,"=""20210284225621""",บริษัท ซีเคอาร์ เพอร์ซิชั่น ทู อินดัสทรีย์ จำกัด,3,ระยอง,นิคมพัฒนา,มะขามคู่,266 ม.3,12.847,101.101,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-15/50สป,จ3-41(2)-15/50สป,"=""20110101525502""",บริษัท ไทยโตคอนส์ จำกัด,3,สมุทรปราการ,บางพลี,บางปลา,5/28 ม.12 ถ.ธนสิทธิ์,13.58176,100.70998,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-15/61ฉช,จ3-41(2)-15/61ฉช,"=""20240001525615""",บริษัท สยาม ชิโยดะ จำกัด,3,ฉะเชิงเทรา,พนมสารคาม,หนองแหน,91/29 ม.7,13.661,101.335,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-16/48ชบ,จ3-41(2)-16/48ชบ,"=""20200001625484""",บริษัท ออส-เทค เอ็นจิเนียริ่ง จำกัด,3,ชลบุรี,เมืองชลบุรี,ห้วยกะปิ,146/1 ม.4 ซ.ห้วยกะปิ 16 ถ.สุขุมวิท,13.29767,100.9645,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-17/58ปท,จ3-41(2)-17/58ปท,"=""20130001725580""",บริษัท นิชิกิ (ประเทศไทย) จำกัด,3,ปทุมธานี,คลองหลวง,คลองหนึ่ง,75/120 ม.11 ถ.พหลโยธิน,14.090175142713,100.61160866018,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-17/62ชบ,จ3-41(2)-17/62ชบ,"=""20200303225629""",บริษัท ไท้เม่า พรีซีชั่น จำกัด,3,ชลบุรี,บ้านบึง,หนองชาก,18/24 ม.2,13.298,101.172,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-18/57ปท,จ3-41(2)-18/57ปท,"=""20130001825570""",บริษัท เอ.เอ็น.ที.ออโตโมทีฟ จำกัด,3,ปทุมธานี,ธัญบุรี,บึงน้ำรักษ์,98/36 ม.2 ถ.รังสิต-นครนายก,14.071,100.88,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-19/56ชบ,จ3-41(2)-19/56ชบ,"=""20200001925561""",บริษัท สุภาวุฒิ อินดัสทรี จำกัด,3,ชลบุรี,บางละมุง,โป่ง,44/2 ม.8,12.955015,100.997966,sibling,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-19/57ฉช,จ3-41(2)-19/57ฉช,"=""20240001925575""",บริษัท ภัทรภร เอ็ม ซี แอนด์ ซัพพลาย จำกัด,3,ฉะเชิงเทรา,บางน้ำเปรี้ยว,บางขนาก,49 ม.6,13.852877,101.116492,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-2/49ชบ,จ3-41(2)-2/49ชบ,"=""20200000225492""",บริษัท ฟอร์มิ่ง โปร จำกัด,3,ชลบุรี,เมืองชลบุรี,นาป่า,51 ม.3 ซ.สังกะสี ถ.สุขประยูร,13.39697,101.03984,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-2/52ฉช,จ3-41(2)-2/52ฉช,"=""20240100225521""",บริษัท เท็ก อินดัสตรี้ส์ จำกัด,3,ฉะเชิงเทรา,บ้านโพธิ์,แสนภูดาษ,108 ม.1,13.60395,101.10644,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-2/58รย,จ3-41(2)-2/58รย,"=""20210000225582""",บริษัท เอชไอที (บีเคเค) จำกัด,3,ระยอง,นิคมพัฒนา,มะขามคู่,219 ม.1,12.847,101.101,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-2/60ปท,จ3-41(2)-2/60ปท,"=""20130300225605""",บริษัท เคียวเออิ พรีซิชั่น จำกัด,3,ปทุมธานี,คลองหลวง,คลองหนึ่ง,9/49 ม.5,14.066,100.607,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-2/61สค,จ3-41(2)-2/61สค,"=""20740600225616""",บริษัท เจ.วาย.อินดัสทรี จำกัด,3,สมุทรสาคร,กระทุ่มแบน,ดอนไก่ดี,9/94 ม.3,13.633,100.266,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-2/68ปท,จ3-41(2)-2/68ปท,"=""20130010225689""",บริษัท ซุปเปอร์โพลีโมลด์ จำกัด,3,ปทุมธานี,คลองหลวง,คลองหนึ่ง,113 ม.19 ถ.นวนคร 19,14.066,100.607,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-20/59ชบ,จ3-41(2)-20/59ชบ,"=""20200002025593""",บริษัท เพิ่มพูลสลักภัณฑ์และกลการ (2004) จำกัด,3,ชลบุรี,พานทอง,มาบโป่ง,111 ม.4,13.431,101.121,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
